,area,perimeter,roundness,circularity,area blue,perimeter blue,percentage area blue,percentage perim blue,std blue,round blue
0,14687.0,854.54,0.25,0.46,3231.0,274.01,22.0,32.07,23.32,0.54
1,16872.0,758.26,0.37,0.35,5604.0,325.7,33.21,42.95,23.38,0.68
2,13130.0,747.58,0.3,0.45,3240.0,215.25,24.68,28.79,21.28,0.88
3,11719.0,649.08,0.35,0.41,4899.0,332.0,41.8,51.15,22.25,0.56
4,13959.0,676.93,0.38,0.33,3624.0,226.39,25.96,33.44,20.42,0.89
5,17884.0,719.7,0.43,0.33,9282.0,593.81,51.9,82.51,23.05,0.38
6,17910.0,735.93,0.42,0.34,3327.0,232.86,18.58,31.64,21.72,0.77
7,8918.0,635.93,0.28,0.43,181.0,40.06,2.03,6.3,9.0,1.0
8,18493.0,877.61,0.3,0.42,3959.0,265.45,21.41,30.25,20.82,0.71
9,11730.0,617.19,0.39,0.39,3152.0,240.47,26.87,38.96,21.88,0.68
10,14632.0,721.6,0.35,0.37,8008.0,545.3,54.73,75.57,20.48,0.34
11,12762.0,774.14,0.27,0.44,1322.0,136.32,10.36,17.61,24.65,0.89
12,12535.0,733.43,0.29,0.42,1106.0,129.05,8.82,17.6,27.95,0.83
13,15760.0,803.65,0.31,0.44,4509.0,310.47,28.61,38.63,20.62,0.59
14,19477.0,864.27,0.33,0.39,6211.0,329.56,31.89,38.13,19.39,0.72
15,13422.0,725.51,0.32,0.4,4085.0,247.85,30.44,34.16,19.62,0.84
16,11547.0,658.13,0.34,0.39,2154.0,170.32,18.65,25.88,21.96,0.93
17,10034.0,795.61,0.2,0.43,1839.0,143.02,18.33,17.98,22.51,1.0
18,9359.0,737.93,0.22,0.46,959.0,136.46,10.25,18.49,28.89,0.65
19,20490.0,795.76,0.41,0.35,13988.0,598.85,68.27,75.25,46.74,0.49
20,10938.0,587.3,0.4,0.39,2120.0,200.01,19.38,34.05,50.14,0.67
21,9005.0,570.51,0.35,0.38,4990.0,351.01,55.41,61.53,51.64,0.51
22,13079.0,793.82,0.26,0.46,3701.0,225.59,28.3,28.42,48.38,0.91
23,24177.0,947.8,0.34,0.33,10123.0,424.44,41.87,44.78,19.16,0.76
24,14244.0,736.64,0.33,0.4,4936.0,285.74,34.65,38.79,47.7,0.76
25,13925.0,716.29,0.34,0.38,1427.0,143.95,10.25,20.1,46.13,0.87
26,8685.0,620.08,0.28,0.43,465.0,77.58,5.35,12.51,37.18,0.97
27,11286.0,715.92,0.28,0.44,1046.0,272.35,9.27,38.04,4.58,0.18
28,19464.0,843.63,0.34,0.32,8860.0,439.71,45.52,52.12,47.06,0.58
29,16106.0,839.53,0.29,0.41,5491.0,372.84,34.09,44.41,49.5,0.5
30,13975.0,686.45,0.37,0.32,3316.0,218.74,23.73,31.87,46.54,0.87
31,13851.0,700.18,0.36,0.38,4083.0,315.1,29.48,45.0,51.94,0.52
32,13988.0,724.51,0.33,0.37,1940.0,222.8,13.87,30.75,42.27,0.49
33,13454.0,670.94,0.38,0.37,2831.0,242.92,21.04,36.21,49.54,0.6
34,13535.0,666.25,0.38,0.34,558.0,91.79,4.12,13.78,30.35,0.83
35,16281.0,781.23,0.34,0.35,4048.0,289.44,24.86,37.05,50.29,0.61
36,11462.0,748.68,0.26,0.44,1750.0,169.02,15.27,22.58,46.79,0.77
37,13251.0,678.83,0.36,0.36,2266.0,277.51,17.1,40.88,43.65,0.37
38,16633.0,717.23,0.41,0.34,6046.0,314.7,36.35,43.88,47.84,0.77
39,16538.0,685.39,0.44,0.31,4848.0,371.09,29.31,54.14,47.77,0.44
40,12524.0,721.11,0.3,0.39,6689.0,359.09,53.41,49.8,45.73,0.73
41,16619.0,702.68,0.42,0.31,6551.0,433.42,39.42,61.68,46.63,0.44
42,12630.0,804.77,0.25,0.46,3670.0,197.5,29.06,24.54,47.19,1.0
43,11905.0,769.54,0.25,0.45,1055.0,118.16,8.86,15.36,46.71,0.95
44,16919.0,785.24,0.34,0.33,2282.0,188.5,13.49,24.01,48.46,0.81
45,13297.0,768.71,0.28,0.43,2576.0,191.56,19.37,24.92,21.72,0.88
46,16083.0,719.68,0.39,0.31,2904.0,211.7,18.06,29.42,48.79,0.81
47,15905.0,722.82,0.38,0.32,2954.0,210.01,18.57,29.05,47.46,0.84
48,16934.0,695.41,0.44,0.34,6012.0,450.37,35.5,64.76,50.14,0.37
49,12800.0,618.23,0.42,0.33,4434.0,377.74,34.64,61.1,49.11,0.39
50,13360.0,802.77,0.26,0.45,2653.0,186.11,19.86,23.18,46.49,0.96
51,13940.0,696.48,0.36,0.32,3589.0,273.06,25.75,39.21,48.01,0.6
52,16325.0,756.02,0.36,0.39,13728.0,688.85,84.09,91.12,48.3,0.38
53,18061.0,730.23,0.43,0.35,12916.0,602.86,71.51,82.56,46.13,0.45
54,15743.0,634.55,0.49,0.35,4298.0,378.41,27.3,59.63,23.84,0.38
55,10004.0,639.69,0.31,0.44,1200.0,124.4,12.0,19.45,24.55,0.97
56,15044.0,694.43,0.39,0.4,3333.0,226.4,22.16,32.6,20.97,0.82
57,16100.0,792.4,0.32,0.39,3946.0,317.2,24.51,40.03,23.11,0.49
