,unif_embryo,unif_blue,std_embryo,std_blue
0,0.163,0.113,86.804,68.0
1,0.224,0.129,77.071,40.822
2,0.077,0.208,69.278,51.766
3,1.0,0.048,57.944,63.749
4,0.096,0.134,51.082,68.106
5,0.094,0.065,66.276,28.384
6,0.166,0.142,82.656,33.819
7,0.028,0.16,69.75,61.87
8,0.144,0.133,82.104,29.26
9,0.237,0.117,81.596,36.723
10,0.111,0.117,83.343,34.42
11,0.092,0.076,78.858,34.246
12,0.131,0.089,73.215,58.862
13,0.473,0.044,55.971,35.135
14,0.256,0.127,73.551,31.303
15,0.019,1.0,41.789,4.174
16,0.372,0.046,67.22,68.419
17,0.064,0.068,82.013,40.364
18,0.315,0.09,80.109,28.985
19,0.067,0.111,80.34,33.997
20,0.187,0.091,81.58,51.851
21,0.423,0.063,77.081,28.543
22,0.171,0.082,81.168,63.961
23,0.082,0.173,84.988,29.161
24,0.011,0.13,85.739,26.723
25,0.018,0.302,50.447,47.788
26,0.451,0.061,69.827,53.998
27,0.034,0.21,70.284,59.53
28,0.041,0.283,90.667,62.09
29,0.068,0.322,101.107,68.467
30,0.227,0.031,50.515,53.654
31,0.102,0.469,56.389,64.461
32,0.0,0.207,56.635,64.943
33,0.023,0.533,75.035,54.726
34,0.43,0.089,59.637,62.484
35,0.159,0.073,81.694,60.568
36,0.074,0.17,83.176,59.718
37,0.112,0.133,67.506,63.655
38,0.105,0.089,58.791,61.972
39,0.083,0.039,72.126,65.516
40,0.193,0.128,66.399,65.952
41,0.062,0.212,55.024,65.186
42,0.08,0.111,52.558,61.039
43,0.217,0.126,54.087,67.597
44,0.292,0.0,40.546,59.686
45,0.067,0.083,86.691,62.429
46,0.266,0.035,41.061,62.577
47,0.092,0.099,81.188,69.126
48,0.033,0.206,81.864,66.513
49,0.127,0.081,71.928,66.682
50,0.13,0.283,70.118,66.697
51,0.12,0.21,69.853,66.153
52,0.114,0.191,89.88,64.067
53,0.062,0.167,65.185,66.287
54,0.106,0.261,106.334,53.487
55,0.101,0.194,65.796,66.267
56,0.466,0.317,91.332,54.971
57,0.503,0.061,44.813,51.565
